latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
30.91603,76.77007,344.4,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,308.3,11.5,D
30.91506,76.76611,367,0.4,0.6,2021-04-03,0706,N,VIIRS,h,2.0NRT,310.5,11.5,D
30.93178,76.73846,338.3,0.4,0.6,2021-04-03,0706,N,VIIRS,l,2.0NRT,308.9,4.2,D
30.93378,76.74645,347.2,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,307.5,7.3,D
30.92533,76.73598,343.3,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,308.3,4.2,D
30.90657,76.7552,338.1,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,306.6,3.6,D
30.91562,76.74365,339.5,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,308.6,6,D
30.93046,76.73415,347.9,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,306.9,3.4,D
30.93149,76.73834,339,0.4,0.6,2021-04-03,0706,N,VIIRS,l,2.0NRT,309.4,3.4,D
30.93345,76.74639,344.9,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,307.8,6,D
30.92507,76.73584,337.4,0.4,0.6,2021-04-03,0706,N,VIIRS,l,2.0NRT,307.5,4.1,D
30.92612,76.74017,337.2,0.4,0.6,2021-04-03,0706,N,VIIRS,l,2.0NRT,308.4,4.1,D
30.91533,76.74358,341.8,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,308.2,3.5,D
30.90991,76.74516,343.1,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,306.2,3.5,D
30.91095,76.74936,342.8,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,308.5,6.3,D
30.91196,76.75351,332.6,0.4,0.6,2021-04-03,0706,N,VIIRS,l,2.0NRT,307.4,6.3,D
30.91405,76.76199,348.3,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,313.7,28,D
31.81938,75.48039,340,0.5,0.66,2021-04-03,0848,N,VIIRS,n,2.0NRT,307.3,4.2,D
31.03821,76.41707,339,0.56,0.69,2021-04-03,0848,N,VIIRS,n,2.0NRT,309.4,4,D
31.04492,76.4225,351.5,0.56,0.69,2021-04-03,0848,N,VIIRS,n,2.0NRT,310.6,13.1,D
31.04464,76.41652,336.9,0.56,0.69,2021-04-03,0848,N,VIIRS,n,2.0NRT,308,7.9,D
31.3626,76.4052,336.9,0.56,0.69,2021-04-03,0848,N,VIIRS,n,2.0NRT,310.1,6.9,D
31.36235,76.39997,367,0.56,0.69,2021-04-03,0848,N,VIIRS,h,2.0NRT,311.5,6.9,D
31.35593,76.40089,336.2,0.56,0.69,2021-04-03,0848,N,VIIRS,n,2.0NRT,308.1,6.9,D
31.32082,76.1988,335,0.55,0.68,2021-04-03,0848,N,VIIRS,n,2.0NRT,305.9,2.8,D
31.31924,76.2026,331.1,0.55,0.68,2021-04-03,0848,N,VIIRS,l,2.0NRT,305.2,2.9,D
31.82027,75.48325,343.5,0.5,0.66,2021-04-03,0848,N,VIIRS,n,2.0NRT,307.4,5.7,D
31.34689,75.95039,334.7,0.53,0.67,2021-04-03,0848,N,VIIRS,n,2.0NRT,303,3.1,D
30.905,76.74869,332.3,0.59,0.7,2021-04-03,0848,N,VIIRS,l,2.0NRT,305.8,6.2,D
30.91275,76.77297,337,0.59,0.7,2021-04-03,0848,N,VIIRS,n,2.0NRT,305,8.7,D
30.91213,76.76029,334.6,0.59,0.7,2021-04-03,0848,N,VIIRS,l,2.0NRT,307.9,14.7,D
30.91152,76.74787,348.3,0.59,0.7,2021-04-03,0848,N,VIIRS,n,2.0NRT,309.8,6.2,D
30.91776,76.74117,331.8,0.59,0.7,2021-04-03,0848,N,VIIRS,l,2.0NRT,306.8,11,D
30.91747,76.73519,339.1,0.59,0.7,2021-04-03,0848,N,VIIRS,n,2.0NRT,307.9,6.9,D
30.91063,76.7634,338.4,0.59,0.7,2021-04-03,0848,N,VIIRS,n,2.0NRT,307.5,9.8,D
30.91011,76.75122,340.3,0.59,0.7,2021-04-03,0848,N,VIIRS,n,2.0NRT,307.4,6.6,D
30.90984,76.74497,349.2,0.59,0.7,2021-04-03,0848,N,VIIRS,n,2.0NRT,308.8,6.6,D
30.91665,76.75052,333.4,0.59,0.7,2021-04-03,0848,N,VIIRS,l,2.0NRT,307.7,8.9,D
31.00259,76.63573,332.9,0.58,0.7,2021-04-03,0848,N,VIIRS,n,2.0NRT,306.6,4.6,D
31.45888,76.09625,345.3,0.54,0.68,2021-04-03,0848,N,VIIRS,n,2.0NRT,307.2,8.2,D
31.45254,76.09673,336.8,0.54,0.68,2021-04-03,0848,N,VIIRS,l,2.0NRT,308.3,6,D
31.44648,76.10315,332.4,0.54,0.68,2021-04-03,0848,N,VIIRS,l,2.0NRT,306.1,6,D
30.99368,76.63438,306.9,0.78,0.78,2021-04-03,1930,N,VIIRS,n,2.0NRT,287.7,3.3,N
30.90061,76.76372,307.4,0.77,0.77,2021-04-03,1930,N,VIIRS,n,2.0NRT,289.7,2.8,N
30.99399,76.62546,327.2,0.78,0.78,2021-04-03,1930,N,VIIRS,n,2.0NRT,287.3,3.3,N
30.9951,76.62812,330.4,0.78,0.78,2021-04-03,1930,N,VIIRS,n,2.0NRT,288.5,6,N
30.98638,76.63412,323.5,0.78,0.78,2021-04-03,1930,N,VIIRS,n,2.0NRT,289.2,5.5,N
30.9878,76.62776,312.5,0.78,0.78,2021-04-03,1930,N,VIIRS,n,2.0NRT,287.6,5.4,N
30.98753,76.63679,318.4,0.78,0.78,2021-04-03,1930,N,VIIRS,n,2.0NRT,288.9,4.4,N
30.90175,76.76896,301.8,0.77,0.77,2021-04-03,1930,N,VIIRS,n,2.0NRT,288.9,1.2,N
30.91794,76.71715,299.2,0.77,0.77,2021-04-03,1930,N,VIIRS,n,2.0NRT,286.6,2.1,N
30.90205,76.75963,300.8,0.77,0.77,2021-04-03,1930,N,VIIRS,n,2.0NRT,289,1.2,N
30.91767,76.72576,299.9,0.77,0.77,2021-04-03,1930,N,VIIRS,n,2.0NRT,287.5,2,N
30.99874,76.63071,305.2,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,287.1,1,N
30.98672,76.62877,298.1,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,286.5,4.7,N
31.456,76.0905,310.5,0.55,0.51,2021-04-03,2112,N,VIIRS,n,2.0NRT,288.9,3.6,N
31.45139,76.0892,332.4,0.55,0.51,2021-04-03,2112,N,VIIRS,n,2.0NRT,291.4,3.6,N
31.45426,76.08463,305,0.55,0.51,2021-04-03,2112,N,VIIRS,n,2.0NRT,289,2.8,N
30.90399,76.77343,302.4,0.62,0.54,2021-04-03,2112,N,VIIRS,n,2.0NRT,289.4,1.6,N
30.90543,76.76728,299.9,0.61,0.54,2021-04-03,2112,N,VIIRS,n,2.0NRT,289.6,2,N
30.91553,76.72398,332.7,0.61,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,291.6,2.8,N
30.9189,76.7317,298.9,0.61,0.54,2021-04-03,2112,N,VIIRS,n,2.0NRT,288.4,2.8,N
31.453,76.09008,325.6,0.55,0.51,2021-04-03,2112,N,VIIRS,n,2.0NRT,290.2,4.3,N
30.99007,76.63632,335,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,290.2,6.6,N
30.99258,76.63525,298.9,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,287.6,4.4,N
30.90199,76.75982,303.3,0.61,0.54,2021-04-03,2112,N,VIIRS,n,2.0NRT,289.2,3,N
30.90058,76.76588,320.5,0.61,0.54,2021-04-03,2112,N,VIIRS,n,2.0NRT,291.8,3,N
30.98529,76.63484,339,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,290.1,6.6,N
31.44837,76.08886,304.4,0.55,0.51,2021-04-03,2112,N,VIIRS,n,2.0NRT,287.9,1.8,N
30.98864,76.6424,332.9,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,288.1,6.6,N
30.89573,76.7645,323.7,0.61,0.54,2021-04-03,2112,N,VIIRS,n,2.0NRT,290.3,3,N
30.99627,76.63179,304,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,288.1,1.6,N
30.99397,76.62916,325.4,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,288.7,4.4,N
30.9977,76.62569,302.2,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,286.8,1.6,N
31.05915,76.49386,303.2,0.59,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,287.6,1,N
30.9915,76.63026,332.1,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,289.6,4.7,N
30.98641,76.63981,327.3,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,288.3,5,N
30.98919,76.62765,314,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,286.8,4.4,N
30.92373,76.73309,300.3,0.61,0.54,2021-04-03,2112,N,VIIRS,n,2.0NRT,288.9,1.7,N
30.89913,76.77206,305.2,0.62,0.54,2021-04-03,2112,N,VIIRS,n,2.0NRT,289.1,1.8,N
30.99117,76.64138,337.4,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,289.1,5,N
30.98781,76.63371,340.3,0.6,0.53,2021-04-03,2112,N,VIIRS,n,2.0NRT,291.1,4.4,N
30.91155,76.71021,338.1,0.73,0.76,2021-04-04,0648,N,VIIRS,n,2.0NRT,301.8,4.8,D
30.8916,76.76309,330.7,0.73,0.76,2021-04-04,0648,N,VIIRS,l,2.0NRT,301.6,7.2,D
30.98857,76.6441,342.5,0.74,0.76,2021-04-04,0648,N,VIIRS,n,2.0NRT,301.8,11.4,D
30.91419,76.71133,334.5,0.73,0.76,2021-04-04,0648,N,VIIRS,n,2.0NRT,301.3,8.9,D
30.99039,76.64455,344.4,0.74,0.76,2021-04-04,0648,N,VIIRS,n,2.0NRT,301.6,12,D
30.91065,76.71688,348.7,0.61,0.53,2021-04-04,0830,N,VIIRS,n,2.0NRT,311.8,15.2,D
30.69594,76.31791,331.2,0.58,0.52,2021-04-04,0830,N,VIIRS,n,2.0NRT,303.2,1.8,D
30.91078,76.71463,348.7,0.61,0.53,2021-04-04,0830,N,VIIRS,n,2.0NRT,311.5,13.3,D
30.99088,76.64169,333.9,0.61,0.53,2021-04-04,0830,N,VIIRS,l,2.0NRT,308.6,5.7,D
31.32615,76.2024,345,0.58,0.52,2021-04-04,0830,N,VIIRS,n,2.0NRT,308.3,13.2,D
30.99139,76.64815,341.1,0.61,0.53,2021-04-04,0830,N,VIIRS,n,2.0NRT,305.7,7,D
30.98593,76.64214,335.1,0.61,0.53,2021-04-04,0830,N,VIIRS,l,2.0NRT,309.3,5.7,D
30.99031,76.64803,342,0.61,0.53,2021-04-04,0830,N,VIIRS,n,2.0NRT,307.2,14.2,D
30.9832,76.62317,335.5,0.6,0.53,2021-04-04,0830,N,VIIRS,l,2.0NRT,307,5.4,D
30.98481,76.64209,334.2,0.61,0.53,2021-04-04,0830,N,VIIRS,l,2.0NRT,308.4,6.6,D
30.89445,76.76184,336.1,0.61,0.54,2021-04-04,0830,N,VIIRS,l,2.0NRT,309.2,7.6,D
